chrom	left	right	max_coverage	gene_id	strand	pval	height	gene_name	Fold change SP/OO GL	Classification OO/SP GL	Oo. expression	Sp. expression	Wormbase ID	Program	WB ID	biotype	chrm	location
I	412496	412535	2	WBGene00021733	+	0	2.0	otub-2	0.4526092	Gender Neutral	26.3618	34.7048	WBGene00021733	Oogenic only	WBGene00021733	protein_coding	I	3'UTR
V	4824528	4824574	3	WBGene00002010	-	0	3.0	hsp-6	0.02367485	Gender Neutral	447.044	441.979	WBGene00002010	Oogenic only	WBGene00002010	protein_coding	V	3'UTR
V	1875278	1875304	2	WBGene00020391	+	0	2.0	cct-7	-0.4576686	Gender Neutral	338.142	237.568	WBGene00020391	Oogenic only	WBGene00020391	protein_coding	V	3'UTR
III	12399262	12399323	3	WBGene00013034	-	0	3.0	tat-1	0.4922383	Gender Neutral	37.7692	49.9061	WBGene00013034	Oogenic only	WBGene00013034	protein_coding	III	3'UTR
III	8693340	8693375	2	WBGene00015126	+	0	2.0	B0303.4	0.01580808	Gender Neutral	64.7871	63.1946	WBGene00015126	Oogenic only	WBGene00015126	protein_coding	III	3'UTR
III	5029599	5029635	3	WBGene00020092	+	0	3.0	pcf-11					WBGene00020092	Oogenic only	WBGene00020092	protein_coding	III	3'UTR
III	9046202	9046273	4	WBGene00011299	-	0	4.0	ikke-1	-2.310341	Oogenic	67.1971	12.9267	WBGene00011299	Oogenic only	WBGene00011299	protein_coding	III	3'UTR
III	5249141	5249185	2	WBGene00016409	-	0	2.0	sumv-1					WBGene00016409	Oogenic only	WBGene00016409	protein_coding	III	3'UTR
III	5249190	5249220	2	WBGene00016409	-	0	2.0	sumv-1					WBGene00016409	Oogenic only	WBGene00016409	protein_coding	III	3'UTR
II	6847453	6847510	3	WBGene00001194	+	0	3.0	egl-27	-0.5411458	Gender Neutral	93.2093	62.4131	WBGene00001194	Oogenic only	WBGene00001194	protein_coding	II	3'UTR
II	6847557	6847620	4	WBGene00001194	+	0	4.0	egl-27	-0.5411458	Gender Neutral	93.2093	62.4131	WBGene00001194	Oogenic only	WBGene00001194	protein_coding	II	3'UTR
II	6847689	6847768	2	WBGene00001194	+	0	2.0	egl-27	-0.5411458	Gender Neutral	93.2093	62.4131	WBGene00001194	Oogenic only	WBGene00001194	protein_coding	II	3'UTR
I	13168937	13168991	3	WBGene00009065	+	0	3.0	F22G12.5	-0.1487302	Gender Neutral	32.4985	28.4271	WBGene00009065	Oogenic only	WBGene00009065	protein_coding	I	CDS
II	10882478	10882511	3	WBGene00009701	-	0	3.0	egg-3	-1.91898	Oogenic	172.444	43.9023	WBGene00009701	Oogenic only	WBGene00009701	protein_coding	II	3'UTR
I	2009926	2009954	2	WBGene00021238	-	0	2.0	gap-3	0.4752671	Gender Neutral	15.3127	20.6924	WBGene00021238	Oogenic only	WBGene00021238	protein_coding	I	CDS
V	13411626	13411665	2	WBGene00009982	+	0	2.0	F53F1.4	0.640317	Gender Neutral	3.73238	4.90801	WBGene00009982	Oogenic only	WBGene00009982	protein_coding	V	3'UTR
I	8610827	8610867	2	WBGene00009665	+	0	2.0	lmd-1	0.5640787	Gender Neutral	61.3786	89.2589	WBGene00009665	Oogenic only	WBGene00009665	protein_coding	I	3'UTR
I	3807693	3807729	3	WBGene00016326	-	0	3.0	ubr-1	0.7240152	Gender Neutral	41.7779	65.5639	WBGene00016326	Oogenic only	WBGene00016326	protein_coding	I	3'UTR
III	5714327	5714378	3	WBGene00015143	+	0	3.0	B0336.3	-0.1502777	Gender Neutral	129.224	113.689	WBGene00015143	Oogenic only	WBGene00015143	protein_coding	III	3'UTR
II	5910957	5910995	2	WBGene00006933	+	0	2.0	vps-35	-0.8996638	Gender Neutral	73.7206	38.7413	WBGene00006933	Oogenic only	WBGene00006933	protein_coding	II	3'UTR
II	11774663	11774727	2	WBGene00009661	-	0	2.0	patr-1	-2.724905	Oogenic	191.356	27.8369	WBGene00009661	Oogenic only	WBGene00009661	protein_coding	II	3'UTR
V	6257650	6257743	4	WBGene00006437	-	0	4.0	mrck-1	-0.5929259	Gender Neutral	44.7845	28.2286	WBGene00006437	Oogenic only	WBGene00006437	protein_coding	V	3'UTR
I	13548327	13548395	2	WBGene00006936	-	0	2.0	vars-2	-0.1162694	Gender Neutral	123.037	108.702	WBGene00006936	Oogenic only	WBGene00006936	protein_coding	I	3'UTR
V	13965419	13965492	4	WBGene00011195	+	0	4.0	sao-1					WBGene00011195		WBGene00011195	protein_coding	V	3'UTR
V	13965631	13965679	2	WBGene00011195	+	0	2.0	sao-1					WBGene00011195		WBGene00011195	protein_coding	V	3'UTR
IV	12134938	12134988	4	WBGene00003010	+	0	4.0	lin-24	-1.785832	Oogenic	94.7428	20.2517	WBGene00003010	Oogenic only	WBGene00003010	protein_coding	IV	3'UTR
I	8821024	8821117	3	WBGene00009456	+	0	3.0	F36A2.9	-0.1867453	Gender Neutral	84.8537	71.8588	WBGene00009456	Oogenic only	WBGene00009456	protein_coding	I	3'UTR
IV	12370890	12370927	4	WBGene00000376	+	0	4.0	ccr-4	-0.9811616	Gender Neutral	172.235	85.417	WBGene00000376	Oogenic only	WBGene00000376	protein_coding	IV	3'UTR
IV	12370977	12371040	4	WBGene00000376	+	0	4.0	ccr-4	-0.9811616	Gender Neutral	172.235	85.417	WBGene00000376	Oogenic only	WBGene00000376	protein_coding	IV	3'UTR
IV	12371634	12371684	2	WBGene00000376	+	0	2.0	ccr-4	-0.9811616	Gender Neutral	172.235	85.417	WBGene00000376	Oogenic only	WBGene00000376	protein_coding	IV	3'UTR
II	3971544	3971620	3	WBGene00004751	+	0	3.0	sea-2					WBGene00004751	Oogenic only	WBGene00004751	protein_coding	II	3'UTR
II	3971911	3971950	2	WBGene00004751	+	0	2.0	sea-2					WBGene00004751	Oogenic only	WBGene00004751	protein_coding	II	3'UTR
I	8407830	8407883	4	WBGene00003014	-	0	4.0	lin-28	0.4386547	Gender Neutral	60.8253	82.5115	WBGene00003014	Oogenic only	WBGene00003014	protein_coding	I	3'UTR
I	8407901	8407944	2	WBGene00003014	-	0	2.0	lin-28	0.4386547	Gender Neutral	60.8253	82.5115	WBGene00003014	Oogenic only	WBGene00003014	protein_coding	I	3'UTR
III	7495693	7495763	4	WBGene00000479	-	0	4.0	cgh-1	-1.711824	Oogenic	1591.04	468.234	WBGene00000479	Oogenic and Spermatogenic	WBGene00000479	protein_coding	III	3'UTR
III	7496212	7496266	3	WBGene00000479	-	0	3.0	cgh-1	-1.711824	Oogenic	1591.04	468.234	WBGene00000479	Oogenic and Spermatogenic	WBGene00000479	protein_coding	III	3'UTR
IV	16429628	16429689	2	WBGene00012423	+	0	2.0	Y10G11A.1	0.09290746	Gender Neutral	110.391	114.215	WBGene00012423	Oogenic only	WBGene00012423	protein_coding	IV	3'UTR
I	6843136	6843172	3	WBGene00001056	+	0	3.0	dpf-3	-0.1623237	Gender Neutral	110.68	96.1888	WBGene00001056	Oogenic only	WBGene00001056	protein_coding	I	3'UTR
III	5020825	5020864	3	WBGene00020094	+	0	3.0	wip-1	-0.9831645	Gender Neutral	90.369	46.5158	WBGene00020094	Oogenic only	WBGene00020094	protein_coding	III	3'UTR
I	9969366	9969413	4	WBGene00003397	+	0	4.0	mom-5	-1.167151	Oogenic	101.483	43.833	WBGene00003397	Oogenic only	WBGene00003397	protein_coding	I	3'UTR
I	9895888	9895982	4	WBGene00003396	-	0	4.0	mom-4	-1.279679	Oogenic	38.958	15.4952	WBGene00003396	Oogenic only	WBGene00003396	protein_coding	I	3'UTR
I	6497437	6497509	4	WBGene00016943	+	0	4.0	acdh-1	1.599438	Gender Neutral	20.9842	60.6419	WBGene00016943	Spermatogenic only	WBGene00016943	protein_coding	I	CDS
I	7565259	7565308	3	WBGene00012031	+	0	3.0	T25G3.4	0.3792022	Gender Neutral	88.4464	110.061	WBGene00012031	Oogenic and Spermatogenic	WBGene00012031	protein_coding	I	CDS
I	7567620	7567663	3	WBGene00012031	+	0	3.0	T25G3.4	0.3792022	Gender Neutral	88.4464	110.061	WBGene00012031	Oogenic and Spermatogenic	WBGene00012031	protein_coding	I	3'UTR
II	7255580	7255640	4	WBGene00017967	+	0	4.0	ada-2	-0.2044451	Gender Neutral	42.2328	38.4542	WBGene00017967	Oogenic only	WBGene00017967	protein_coding	II	3'UTR
IV	8011205	8011254	4	WBGene00021541	-	0	4.0	Y42H9B.3	-1.022615	Oogenic	132.839	63.3165	WBGene00021541	Oogenic and Spermatogenic	WBGene00021541	protein_coding	IV	3'UTR
II	233181	233271	2	WBGene00021546	-	0	2.0	laat-1	-2.427304	Oogenic	87.9251	15.9337	WBGene00021546	Oogenic only	WBGene00021546	protein_coding	II	3'UTR
II	10198221	10198280	2	WBGene00011038	+	0	2.0	R05H5.3	-2.267037	Oogenic	811.541	163.193	WBGene00011038	Oogenic and Spermatogenic	WBGene00011038	protein_coding	II	3'UTR
III	7793554	7793605	2	WBGene00015591	-	0	2.0	cyk-7	-0.06680912	Gender Neutral	184.918	173.007	WBGene00015591	Oogenic only	WBGene00015591	protein_coding	III	3'UTR
II	13110021	13110096	3	WBGene00004120	+	0	3.0	pqn-32					WBGene00004120	Oogenic only	WBGene00004120	protein_coding	II	3'UTR
IV	9780550	9780635	3	WBGene00011746	+	0	3.0	T13F2.6	-0.7481726	Gender Neutral	134.254	78.1669	WBGene00011746	Oogenic and Spermatogenic	WBGene00011746	protein_coding	IV	3'UTR
III	4276474	4276519	3	WBGene00006331	-	0	3.0	sup-26	-0.5633421	Gender Neutral	21.7521	17.1125	WBGene00006331	Oogenic and Spermatogenic	WBGene00006331	protein_coding	III	3'UTR
III	2764573	2764636	2	WBGene00022182	-	0	2.0	swsn-3	-0.2265114	Gender Neutral	74.6512	60.4931	WBGene00022182	Oogenic only	WBGene00022182	protein_coding	III	3'UTR
II	9056661	9056692	2	WBGene00004446	-	0	2.0	rpl-32	0.7429936	Gender Neutral	3604.38	6753.63	WBGene00004446	Oogenic and Spermatogenic	WBGene00004446	protein_coding	II	CDS
II	8889426	8889473	4	WBGene00011580	+	0	4.0	ddx-19	-0.1059957	Gender Neutral	77.6557	70.7342	WBGene00011580	Oogenic only	WBGene00011580	protein_coding	II	3'UTR
II	11595381	11595415	3	WBGene00008546	-	0	3.0	gfat-1					WBGene00008546	Oogenic only	WBGene00008546	protein_coding	II	5'UTR
I	6784150	6784229	4	WBGene00000871	+	0	4.0	cye-1	-1.186792	Oogenic	133.751	58.6476	WBGene00000871	Oogenic only	WBGene00000871	protein_coding	I	3'UTR
III	5589121	5589187	2	WBGene00018967	-	0	2.0	ddx-15					WBGene00018967	Oogenic only	WBGene00018967	protein_coding	III	3'UTR
III	7642154	7642232	3	WBGene00023219	-	0	3.0	ZK783.t1					WBGene00023219		WBGene00023219	tRNA	III	ncRNA
III	13768558	13768600	2	WBGene00000875	-	0	2.0	cyk-4	0.3268043	Gender Neutral	142.012	180.329	WBGene00000875	Oogenic and Spermatogenic	WBGene00000875	protein_coding	III	3'UTR
III	13768689	13768779	2	WBGene00000875	-	0	2.0	cyk-4	0.3268043	Gender Neutral	142.012	180.329	WBGene00000875	Oogenic and Spermatogenic	WBGene00000875	protein_coding	III	3'UTR
V	6704594	6704700	2	WBGene00020949	-	0	2.0	W02F12.4	-0.4694908	Gender Neutral	84.3049	54.9032	WBGene00020949	Oogenic only	WBGene00020949	protein_coding	V	3'UTR
V	15190851	15190924	4	WBGene00000879	+	0	4.0	cyn-3					WBGene00000879	Oogenic and Spermatogenic	WBGene00000879	protein_coding	V	3'UTR
X	7773209	7773268	2	WBGene00023210	+	0	2.0	ZK154.t1					WBGene00023210		WBGene00023210	tRNA	X	ncRNA
IV	6582781	6582839	2	WBGene00018161	-	0	2.0	F38A5.2	0.5578869	Gender Neutral	68.7524	99.1596	WBGene00018161	Oogenic only	WBGene00018161	protein_coding	IV	3'UTR
IV	13777862	13777899	4	WBGene00004430	+	0	4.0	rpl-18					WBGene00004430	Oogenic and Spermatogenic	WBGene00004430	protein_coding	IV	5'UTR
IV	12331398	12331469	2	WBGene00008948	-	0	2.0	F19B6.1					WBGene00008948	Oogenic only	WBGene00008948	protein_coding	IV	3'UTR
V	13650567	13650613	4	WBGene00010425	-	0	4.0	lpin-1	-0.1351223	Gender Neutral	72.362	64.0046	WBGene00010425	Oogenic only	WBGene00010425	protein_coding	V	3'UTR
V	6435689	6435877	6	WBGene00020269	+	0	4.0	erfa-1					WBGene00020269	Oogenic and Spermatogenic	WBGene00020269	protein_coding	V	CDS
V	6436138	6436186	3	WBGene00020269	+	0	3.0	erfa-1					WBGene00020269	Oogenic and Spermatogenic	WBGene00020269	protein_coding	V	CDS
IV	8594401	8594432	2	WBGene00022010	+	0	2.0	catp-7	2.797421	Spermatogenic	7.20331	45.7408	WBGene00022010	Oogenic and Spermatogenic	WBGene00022010	protein_coding	IV	3'UTR
III	3790197	3790227	2	WBGene00003476	-	0	2.0	mtm-3	-2.306645	Oogenic	96.7945	19.7198	WBGene00003476	Oogenic only	WBGene00003476	protein_coding	III	3'UTR
V	17994164	17994245	3	WBGene00013353	+	0	3.0	Y59A8B.21	-0.08974439	Gender Neutral	45.6213	42.1502	WBGene00013353	Oogenic only	WBGene00013353	protein_coding	V	CDS
I	2418504	2418546	2	WBGene00017734	-	0	2.0	F23C8.5	0.7365123	Gender Neutral	189.611	310.463	WBGene00017734	Oogenic and Spermatogenic	WBGene00017734	protein_coding	I	3'UTR
II	11880369	11880412	2	WBGene00010785	+	0	2.0	top-2	-0.1238547	Gender Neutral	158.701	140.184	WBGene00010785	Oogenic only	WBGene00010785	protein_coding	II	3'UTR
II	11880473	11880503	3	WBGene00010785	+	0	3.0	top-2	-0.1238547	Gender Neutral	158.701	140.184	WBGene00010785	Oogenic only	WBGene00010785	protein_coding	II	3'UTR
I	5472448	5472504	2	WBGene00020263	-	0	2.0	T05E8.3	-0.6480507	Gender Neutral	53.4608	32.2659	WBGene00020263	Oogenic only	WBGene00020263	protein_coding	I	3'UTR
IV	2891630	2891662	2	WBGene00021883	-	0	2.0	Y54G2A.18	-0.08129981	Gender Neutral	191.878	174.748	WBGene00021883	Oogenic only	WBGene00021883	protein_coding	IV	3'UTR
X	13908448	13908500	2	WBGene00012514	-	0	2.0	Y26E6A.3	5.726577	Spermatogenic	3.03661	157.918	WBGene00012514	Oogenic and Spermatogenic	WBGene00012514	protein_coding	X	3'UTR
V	9159631	9159674	3	WBGene00000717	-	0	3.0	col-144	0.4249485	Gender Neutral	13.609	17.6229	WBGene00000717	Spermatogenic only	WBGene00000717	protein_coding	V	3'UTR
II	8228784	8228866	2	WBGene00000894	+	0	2.0	dab-1	-3.395802	Oogenic	258.63	24.0385	WBGene00000894	Oogenic only	WBGene00000894	protein_coding	II	3'UTR
II	8229047	8229109	3	WBGene00000894	+	0	3.0	dab-1	-3.395802	Oogenic	258.63	24.0385	WBGene00000894	Oogenic only	WBGene00000894	protein_coding	II	3'UTR
I	13575536	13575596	2	WBGene00013596	+	0	2.0	Y87G2A.7	-0.9583532	Gender Neutral	58.6549	29.4706	WBGene00013596	Oogenic only	WBGene00013596	protein_coding	I	3'UTR
II	13091221	13091283	3	WBGene00013591	+	0	3.0	gcn-2	0.1300086	Gender Neutral	14.561	15.6624	WBGene00013591	Oogenic only	WBGene00013591	protein_coding	II	3'UTR
I	9952862	9952922	4	WBGene00005023	+	0	4.0	sqv-5	-2.240537	Oogenic	121.134	24.8155	WBGene00005023	Oogenic only	WBGene00005023	protein_coding	I	3'UTR
V	10659675	10659762	3	WBGene00005022	-	0	3.0	sqv-4	-1.55067	Oogenic	221.457	72.9959	WBGene00005022	Oogenic only	WBGene00005022	protein_coding	V	3'UTR
V	118328	118364	2	WBGene00000480	-	0	2.0	cgp-1	-1.37599	Oogenic	110.013	40.9656	WBGene00000480	Oogenic only	WBGene00000480	protein_coding	V	3'UTR
II	7011001	7011046	2	WBGene00005025	-	0	2.0	sqv-7	-1.001774	Oogenic	92.4316	45.3778	WBGene00005025	Oogenic only	WBGene00005025	protein_coding	II	3'UTR
V	6890942	6890974	2	WBGene00006803	+	0	2.0	unc-70					WBGene00006803	Oogenic only	WBGene00006803	protein_coding	V	3'UTR
III	7102188	7102236	3	WBGene00015102	-	0	3.0	cpg-2	-3.073158	Oogenic	0.0	267.024	WBGene00015102	Oogenic and Spermatogenic	WBGene00015102	protein_coding	III	3'UTR
IV	7926059	7926107	3	WBGene00004471	-	0	3.0	rps-2	0.1582557	Gender Neutral	2092.51	1696.9	WBGene00004471	Oogenic and Spermatogenic	WBGene00004471	protein_coding	IV	CDS
V	16405225	16405268	2	WBGene00045357	+	0	2.0	F13A7.14	-0.2592688	Gender Neutral	71.7907	59.5794	WBGene00045357	Oogenic only	WBGene00045357	protein_coding	V	3'UTR
V	4347165	4347207	2	WBGene00003159	+	0	2.0	mcm-7	-2.023405	Oogenic	263.029	62.2954	WBGene00003159	Oogenic only	WBGene00003159	protein_coding	V	5'UTR
V	4349571	4349632	4	WBGene00003159	+	0	4.0	mcm-7	-2.023405	Oogenic	263.029	62.2954	WBGene00003159	Oogenic only	WBGene00003159	protein_coding	V	3'UTR
III	9798547	9798603	4	WBGene00003158	+	0	4.0	mcm-6	-1.925413	Oogenic	185.113	46.3063	WBGene00003158	Oogenic only	WBGene00003158	protein_coding	III	3'UTR
I	9863127	9863176	3	WBGene00010731	+	0	3.0	K10C3.4					WBGene00010731		WBGene00010731	protein_coding	I	3'UTR
I	9850301	9850344	4	WBGene00010730	-	0	4.0	ensa-1	-0.6117201	Gender Neutral	237.767	146.904	WBGene00010730	Oogenic only	WBGene00010730	protein_coding	I	3'UTR
I	9850431	9850512	4	WBGene00010730	-	0	4.0	ensa-1	-0.6117201	Gender Neutral	237.767	146.904	WBGene00010730	Oogenic only	WBGene00010730	protein_coding	I	3'UTR
V	1018104	1018167	4	WBGene00019971	+	0	4.0	ergo-1	-3.091023	Oogenic	98.6063	10.6732	WBGene00019971	Oogenic only	WBGene00019971	protein_coding	V	3'UTR
I	14621301	14621336	3	WBGene00002978	-	0	3.0	lev-11	0.5444033	Gender Neutral	58.5219	79.69	WBGene00002978	Spermatogenic only	WBGene00002978	protein_coding	I	3'UTR
I	14621364	14621468	3	WBGene00002978	-	0	3.0	lev-11	0.5444033	Gender Neutral	58.5219	79.69	WBGene00002978	Spermatogenic only	WBGene00002978	protein_coding	I	3'UTR
I	14630958	14630996	2	WBGene00002978	-	0	2.0	lev-11	0.5444033	Gender Neutral	58.5219	79.69	WBGene00002978	Spermatogenic only	WBGene00002978	protein_coding	I	5'UTR
IV	13035518	13035614	4	WBGene00003150	+	0	4.0	mbk-2	-1.261757	Oogenic	218.152	84.0386	WBGene00003150	Oogenic only	WBGene00003150	protein_coding	IV	3'UTR
IV	3111991	3112035	2	WBGene00003153	-	0	2.0	mca-3	0.2592984	Gender Neutral	68.5257	81.6038	WBGene00003153	Oogenic only	WBGene00003153	protein_coding	IV	CDS
V	15056747	15056801	2	WBGene00003155	-	0	2.0	mcm-3	-2.326138	Oogenic	185.686	34.1012	WBGene00003155	Oogenic only	WBGene00003155	protein_coding	V	3'UTR
II	12001579	12001610	3	WBGene00003154	-	0	3.0	mcm-2	-1.813118	Oogenic	171.696	47.5006	WBGene00003154	Oogenic only	WBGene00003154	protein_coding	II	3'UTR
III	4288306	4288372	4	WBGene00003157	-	0	4.0	mcm-5	-1.333187	Oogenic	187.391	71.1811	WBGene00003157	Oogenic only	WBGene00003157	protein_coding	III	3'UTR
IV	3296760	3296811	2	WBGene00021088	+	0	2.0	W08E12.7	-0.1600107	Gender Neutral	505.479	668.55	WBGene00021088	Oogenic and Spermatogenic	WBGene00021088	protein_coding	IV	3'UTR
III	3918590	3918626	3	WBGene00014204	+	0	3.0	ccdc-47	0.1673683	Gender Neutral	202.21	217.133	WBGene00014204	Oogenic only	WBGene00014204	protein_coding	III	3'UTR
IV	5987366	5987408	2	WBGene00006780	+	0	2.0	unc-44					WBGene00006780	Oogenic only	WBGene00006780	protein_coding	IV	CDS
III	8741075	8741118	2	WBGene00022719	-	0	2.0	pdhk-2	-0.01900308	Gender Neutral	73.6611	68.651	WBGene00022719	Oogenic and Spermatogenic	WBGene00022719	protein_coding	III	CDS
V	1475098	1475151	4	WBGene00006794	+	0	4.0	unc-60	-0.2308551	Gender Neutral	503.558	415.72	WBGene00006794	Oogenic and Spermatogenic	WBGene00006794	protein_coding	V	5'UTR
V	1476602	1476707	4	WBGene00006794	+	0	4.0	unc-60	-0.2308551	Gender Neutral	503.558	415.72	WBGene00006794	Oogenic and Spermatogenic	WBGene00006794	protein_coding	V	CDS
V	14733744	14733780	2	WBGene00006795	-	0	2.0	unc-61	-0.4360072	Gender Neutral	117.88	82.4869	WBGene00006795	Oogenic only	WBGene00006795	protein_coding	V	CDS
I	10169670	10169745	4	WBGene00007706	-	0	4.0	C25A1.4	0.2446906	Gender Neutral	102.626	116.933	WBGene00007706	Oogenic only	WBGene00007706	protein_coding	I	3'UTR
IV	9741940	9741968	2	WBGene00007794	-	0	2.0	C28D4.7	9.490063	Spermatogenic	0.599396	128.185	WBGene00007794	Spermatogenic only	WBGene00007794	protein_coding	IV	CDS
II	10877563	10877670	5	WBGene00003882	+	0	3.0	orc-2	-1.24452	Oogenic	52.6985	21.4439	WBGene00003882	Oogenic only	WBGene00003882	protein_coding	II	3'UTR
I	5018826	5018900	3	WBGene00003934	-	0	3.0	pat-10	0.9218625	Gender Neutral	136.938	258.273	WBGene00003934	Oogenic and Spermatogenic	WBGene00003934	protein_coding	I	3'UTR
V	14453334	14453386	3	WBGene00000257	-	0	3.0	bmk-1	1.163433	Spermatogenic	59.1405	125.746	WBGene00000257	Oogenic and Spermatogenic	WBGene00000257	protein_coding	V	3'UTR
I	6342296	6342339	2	WBGene00000254	+	0	2.0	bli-4	0.2917255	Gender Neutral	100.44	127.935	WBGene00000254	Oogenic only	WBGene00000254	protein_coding	I	5'UTR
I	6342681	6342724	3	WBGene00000254	+	0	3.0	bli-4	0.2917255	Gender Neutral	100.44	127.935	WBGene00000254	Oogenic only	WBGene00000254	protein_coding	I	CDS
I	13658214	13658281	4	WBGene00012354	-	0	4.0	W09C5.8	0.6471153	Gender Neutral	383.121	565.459	WBGene00012354	Oogenic and Spermatogenic	WBGene00012354	protein_coding	I	3'UTR
II	10712082	10712125	3	WBGene00000251	+	0	3.0	bli-1					WBGene00000251		WBGene00000251	protein_coding	II	3'UTR
IV	12207491	12207540	3	WBGene00009435	+	0	3.0	F35G2.1	-0.3059358	Gender Neutral	76.1494	59.1229	WBGene00009435	Oogenic only	WBGene00009435	protein_coding	IV	3'UTR
IV	12207578	12207684	4	WBGene00009435	+	0	4.0	F35G2.1	-0.3059358	Gender Neutral	76.1494	59.1229	WBGene00009435	Oogenic only	WBGene00009435	protein_coding	IV	3'UTR
III	10737166	10737208	2	WBGene00012359	-	0	2.0	W09D10.1	0.3400592	Gender Neutral	60.3667	72.7533	WBGene00012359	Oogenic only	WBGene00012359	protein_coding	III	3'UTR
V	10896892	10896927	3	WBGene00001303	-	0	3.0	emo-1	1.000833	Spermatogenic	530.019	1022.16	WBGene00001303	Oogenic and Spermatogenic	WBGene00001303	protein_coding	V	CDS
V	9331342	9331384	3	WBGene00019464	+	0	3.0	K07B1.4	-1.275948	Oogenic	25.0919	10.1762	WBGene00019464	Oogenic only	WBGene00019464	protein_coding	V	3'UTR
III	4653322	4653379	2	WBGene00011953	+	0	2.0	ppm-2	0.2120756	Gender Neutral	64.8358	72.6887	WBGene00011953	Oogenic and Spermatogenic	WBGene00011953	protein_coding	III	3'UTR
III	4653648	4653678	2	WBGene00011953	+	0	2.0	ppm-2	0.2120756	Gender Neutral	64.8358	72.6887	WBGene00011953	Oogenic and Spermatogenic	WBGene00011953	protein_coding	III	3'UTR
III	13262583	13262625	4	WBGene00010139	+	0	4.0	F56A8.3	0.5015983	Gender Neutral	113.119	174.79	WBGene00010139	Oogenic only	WBGene00010139	protein_coding	III	3'UTR
I	10564485	10564647	3	WBGene00006720	+	0	2.0	ubc-25	-0.3030636	Gender Neutral	196.471	152.224	WBGene00006720	Oogenic only	WBGene00006720	protein_coding	I	3'UTR
II	9275146	9275206	4	WBGene00007227	-	0	4.0	C01G6.5	-2.601509	Oogenic	78.7453	12.5688	WBGene00007227	Oogenic only	WBGene00007227	protein_coding	II	3'UTR
III	9513511	9513586	4	WBGene00010132	-	0	4.0	F55H2.7	-0.2656639	Gender Neutral	59.0095	46.6578	WBGene00010132	Oogenic only	WBGene00010132	protein_coding	III	3'UTR
III	5943756	5943794	3	WBGene00006727	+	0	3.0	ubq-1	-0.1170224	Gender Neutral	672.291	591.503	WBGene00006727	Oogenic and Spermatogenic	WBGene00006727	protein_coding	III	3'UTR
III	9509661	9509703	2	WBGene00010130	+	0	2.0	vha-14	-0.03173189	Gender Neutral	164.993	158.151	WBGene00010130	Oogenic and Spermatogenic	WBGene00010130	protein_coding	III	3'UTR
III	9709622	9709667	2	WBGene00006579	+	0	2.0	tlk-1	-0.4355381	Gender Neutral	117.467	83.5786	WBGene00006579	Oogenic only	WBGene00006579	protein_coding	III	CDS
